year,shipments
1980,106977
1981,133573
1982,140653
1983,196589
1984,215711
1985,186868
1986,189791
1987,211635
1988,215741
1989,187845
1990,173097
1991,163233
1992,203393
1993,227628
1994,259489
1995,247072
1996,247533
1997,254558
1998,292655
1999,321201
2000,300085
2001,256809
2002,311025
2003,320851
2004,370032
2005,384454
2006,390362
2007,353588
2008,237095
2009,165709
2010,242284
2011,252407
2012,285749
2013,321127
2014,356735
2015,374246
2016,430691
2017,504599
2018,483672
2019,406070
2020,430412
2021,600240
2022,493268
